title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Spring has come!,ONA,1,Finished Airing,,,,,Music,Decovocal,add some,,G - All Ages,5.13,13549.0,19050.0,410.0,1.0
Union Union,Special,1,Finished Airing,,,,,,Decovocal,add some,Kids,G - All Ages,5.07,13655.0,20407.0,317.0,0.0
Frame Arms Girl,TV,12,Finished Airing,Spring 2017,Spring,2017.0,Sci-Fi,Mecha,"Zexcs, Studio A-CAT","Frontier Works, Pony Canyon, Nippon Columbia, Bandai Namco Games, Kotobukiya",,PG-13 - Teens 13 or older,6.36,8151.0,4171.0,35439.0,55.0
Overlord Movie 2: Shikkoku no Eiyuu,Movie,1,Finished Airing,,,,"Action, Adventure, Fantasy",Isekai,Madhouse,add some,,R - 17+ (violence & profanity),7.69,1383.0,2419.0,93300.0,170.0
Meitantei Conan Movie 21: Karakurenai no Love Letter,Movie,1,Finished Airing,,,,"Action, Drama, Mystery, Romance","Detective, Historical",TMS Entertainment,add some,,PG-13 - Teens 13 or older,7.68,1414.0,4184.0,35272.0,42.0
Code Geass: Fukkatsu no Lelouch,Movie,1,Finished Airing,,,,"Drama, Sci-Fi","Mecha, Military, Super Power",Sunrise,Showgate,,R - 17+ (violence & profanity),7.9,875.0,795.0,337756.0,2133.0
Code Geass: Hangyaku no Lelouch I - Koudou,Movie,1,Finished Airing,,,,Sci-Fi,"Mecha, Military, School, Super Power",Sunrise,add some,,R+ - Mild Nudity,7.88,906.0,2163.0,111353.0,194.0
Code Geass: Hangyaku no Lelouch II - Handou,Movie,1,Finished Airing,,,,Sci-Fi,"Mecha, Military, School, Super Power",Sunrise,add some,,R - 17+ (violence & profanity),7.64,1524.0,2637.0,81569.0,114.0
Code Geass: Hangyaku no Lelouch III - Oudou,Movie,1,Finished Airing,,,,Sci-Fi,"Mecha, Military, School, Super Power",Sunrise,add some,,R - 17+ (violence & profanity),7.96,758.0,2282.0,102339.0,161.0
Baki,ONA,26,Finished Airing,,,,Sports,"Combat Sports, Gore",TMS Entertainment,add some,Shounen,R - 17+ (violence & profanity),7.31,2883.0,539.0,465857.0,2821.0
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,TV,6,Finished Airing,Fall 2017,Fall,2017.0,Drama,Mahou Shoujo,Studio Gokumi,"Dentsu, Mainichi Broadcasting System, Pony Canyon, Movic, KlockWorx, Kadokawa",,PG-13 - Teens 13 or older,7.65,1511.0,3724.0,44481.0,227.0
Masou Gakuen HxH Specials,Special,6,Finished Airing,,,,Ecchi,Harem,Production IMS,"DAX Production, flying DOG",,R+ - Mild Nudity,6.53,7147.0,3897.0,40905.0,65.0
The Reflection,TV,12,Finished Airing,Summer 2017,Summer,2017.0,Action,Super Power,Studio Deen,"Bandai Visual, NHK, 81 Produce, Haoliners Animation League, China Animation Characters, BIGFACE, NHN PlayArt, Ima Group, Crunchyroll SC Anime Fund",,PG-13 - Teens 13 or older,5.12,13556.0,4497.0,30323.0,12.0
Kekkai Sensen & Beyond,TV,12,Finished Airing,Fall 2017,Fall,2017.0,"Action, Fantasy","Super Power, Urban Fantasy, Vampire",Bones,"Nihon Ad Systems, Mainichi Broadcasting System, TOHO animation, Shueisha",Shounen,R - 17+ (violence & profanity),7.77,1159.0,536.0,467811.0,1791.0
Princess Connect!,ONA,3,Finished Airing,,,,Fantasy,,add some,add some,,G - All Ages,6.28,8660.0,7201.0,9508.0,9.0
Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season,TV,24,Finished Airing,Winter 2017,Winter,2017.0,Comedy,"Parody, Super Power",Studio 4°C,add some,,G - All Ages,,14754.0,15867.0,756.0,0.0
Gijinka de Manabo!,ONA,1,Finished Airing,,,,"Comedy, Sci-Fi",,Yokohama Animation Laboratory,add some,,PG - Children,5.32,13134.0,14001.0,1247.0,1.0
Ao no Exorcist: Kyoto Fujouou-hen OVA,OVA,2,Finished Airing,,,,"Action, Supernatural",Mythology,A-1 Pictures,add some,Shounen,PG-13 - Teens 13 or older,7.09,4122.0,2765.0,75614.0,58.0
Yami Shibai 4,TV,13,Finished Airing,Winter 2017,Winter,2017.0,"Avant Garde, Horror, Supernatural",,ILCA,TV Tokyo,,PG-13 - Teens 13 or older,5.81,11273.0,4375.0,32025.0,10.0
Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu,Movie,1,Finished Airing,,,,Supernatural,Mythology,OLM,add some,Kids,G - All Ages,6.98,4618.0,11338.0,2689.0,9.0
Geki Drive,ONA,1,Finished Airing,,,,Action,Racing,add some,Bandai,,G - All Ages,4.96,13785.0,18771.0,432.0,0.0
