title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
"Urusei Yatsura: Haru da, Tobidase!",Special,1.0,Finished Airing,,,,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",,Studio Pierrot,add some,Shounen,PG-13 - Teens 13 or older,6.61,6660.0,8354.0,6544.0,4.0
D.Gray-man,TV,103,Finished Airing,Fall 2006,Fall,2006.0,"Action, Adventure, Fantasy",Urban Fantasy,TMS Entertainment,"TV Tokyo, Aniplex, Dentsu, Half H.P Studio, Sony Music Entertainment",Shounen,PG-13 - Teens 13 or older,8.0,705.0,313.0,722763.0,13810.0
Master Keaton,TV,24,Finished Airing,Fall 1998,Fall,1998.0,"Adventure, Drama, Mystery","Adult Cast, Historical",Madhouse,"VAP, Nippon Television Network, Shogakukan",Seinen,R - 17+ (violence & profanity),7.61,1641.0,4401.0,31527.0,161.0
Youma,OVA,2,Finished Airing,,,,"Action, Drama, Horror, Supernatural, Suspense",Mythology,J.C.Staff,animate Film,Shoujo,R - 17+ (violence & profanity),6.06,9962.0,6765.0,11014.0,30.0
Akachan to Boku,TV,35,Finished Airing,Summer 1996,Summer,1996.0,"Comedy, Drama",Childcare,Studio Pierrot,"TV Tokyo, Yomiko Advertising, Youmex",Shoujo,G - All Ages,7.82,1042.0,4068.0,37401.0,161.0
Kodomo no Omocha (TV),TV,102,Finished Airing,Spring 1996,Spring,1996.0,"Comedy, Drama, Romance","Love Polygon, Showbiz",Gallop,"TV Tokyo, Nihon Ad Systems, Pony Canyon",Shoujo,PG-13 - Teens 13 or older,8.06,615.0,2749.0,76316.0,1467.0
.hack//Unison,Special,1.0,Finished Airing,,,,"Adventure, Comedy, Fantasy, Sci-Fi",Video Game,Bee Train,"Bandai Visual, Bandai",,PG-13 - Teens 13 or older,6.62,6587.0,4883.0,25048.0,15.0
Area 88,OVA,3.0,Finished Airing,,,,"Action, Adventure, Drama, Romance",Military,Studio Pierrot,add some,Shounen,R+ - Mild Nudity,7.48,2127.0,5248.0,21104.0,244.0
Renkin San-kyuu Magical? Pokaan Specials,Special,3,Finished Airing,,,,"Comedy, Ecchi","CGDCT, Parody, Vampire",Remic,"Genco, Lantis, Media Factory",,R+ - Mild Nudity,6.84,5333.0,7673.0,8065.0,4.0
Ginga Tetsudou Monogatari,TV,26,Finished Airing,Fall 2003,Fall,2003.0,"Action, Adventure, Drama, Sci-Fi",Space,Planet,"Ginga Ya, Studio Kyuuma, Trilogy Future Studio",,PG-13 - Teens 13 or older,7.07,4217.0,6112.0,14098.0,54.0
Ginga Tetsudou 999,TV,113.0,Finished Airing,Fall 1978,Fall,1978.0,"Adventure, Drama, Sci-Fi",Space,Toei Animation,Fuji TV,,G - All Ages,7.75,1223.0,3736.0,44223.0,498.0
Project ARMS,TV,26.0,Finished Airing,Spring 2001,Spring,2001.0,Action,"Martial Arts, Super Power",TMS Entertainment,add some,Shounen,R - 17+ (violence & profanity),6.92,4923.0,5783.0,16311.0,40.0
Project ARMS: The 2nd Chapter,,,,,,,,,,,,,6.96,,,,
Darkside Blues,Movie,1,Finished Airing,,,,"Horror, Mystery, Sci-Fi",Psychological,J.C.Staff,Akita Shoten,,R+ - Mild Nudity,5.99,10300.0,6435.0,12453.0,31.0
Maetel Legend,OVA,2,Finished Airing,,,,"Drama, Sci-Fi",Space,Vega Entertainment,Avex Mode,,PG-13 - Teens 13 or older,6.41,7912.0,8970.0,5495.0,6.0
Fushigi no Kuni no Miyuki-chan,OVA,2,Finished Airing,,,,"Comedy, Fantasy, Girls Love, Ecchi",,animate Film,Arts Pro,,R+ - Mild Nudity,5.62,12183.0,6063.0,14367.0,9.0
Aru Machi Kado no Monogatari,Movie,1.0,Finished Airing,,,,"Award Winning, Drama, Romance","Music, Performing Arts",Mushi Production,add some,,G - All Ages,6.53,7118.0,9160.0,5202.0,9.0
Black Blood Brothers,TV,12,Finished Airing,Fall 2006,Fall,2006.0,"Action, Comedy, Fantasy","Urban Fantasy, Vampire","Group TAC, Studio Live","Toshiba Entertainment, Happinet Pictures, Omnibus Promotion",,R - 17+ (violence & profanity),7.08,4146.0,2215.0,106958.0,411.0
MaMa,OVA,2,Finished Airing,,,,Hentai,,add some,BEAM Entertainment,,Rx - Hentai,5.27,,12331.0,2031.0,3.0
Teizokurei Daydream,OVA,4.0,Finished Airing,,,,"Comedy, Drama, Horror, Supernatural, Ecchi",,HAL Film Maker,"Bandai Visual, Imagine",Shounen,R+ - Mild Nudity,6.09,9782.0,6168.0,13748.0,20.0
Kaleido Star: Good da yo! Goood!!,OVA,1,Finished Airing,,,,Comedy,,Gonzo,HAL Film Maker,,G - All Ages,6.67,6266.0,7905.0,7507.0,8.0
Mahou Shoujo Pretty Sammy (1996),TV,26,Finished Airing,Fall 1996,Fall,1996.0,Comedy,"Mahou Shoujo, Parody",AIC,"SoftX, Pioneer LDC, Arts Pro",,PG - Children,6.72,5977.0,7244.0,9347.0,20.0
Macross Flash Back 2012,OVA,1,Finished Airing,,,,"Drama, Sci-Fi","Mecha, Military",Tatsunoko Production,Big West,,R+ - Mild Nudity,6.84,5322.0,6862.0,10658.0,8.0
Meitantei Conan Movie 09: Suihei Senjou no Strategy,Movie,1,Finished Airing,,,,"Adventure, Comedy, Mystery",Detective,TMS Entertainment,add some,Shounen,PG-13 - Teens 13 or older,7.78,1140.0,3320.0,54100.0,20.0
Meitantei Conan Movie 10: Tantei-tachi no Requiem,Movie,1.0,Finished Airing,,,,"Adventure, Comedy, Mystery",Detective,TMS Entertainment,Shogakukan Productions,Shounen,PG-13 - Teens 13 or older,8.03,663.0,3108.0,61421.0,57.0
Sci-Fi Harry,TV,20,Finished Airing,Fall 2000,Fall,2000.0,"Drama, Horror, Sci-Fi, Suspense","Psychological, Super Power",APPP,"TV Asahi, Nagoya Broadcasting Network, Arts Pro",,R - 17+ (violence & profanity),6.15,9442.0,6901.0,10511.0,21.0
Mamotte! Lollipop,TV,13,Finished Airing,Summer 2006,Summer,2006.0,"Adventure, Comedy, Romance",,Studio Comet,Delfi Sound,Shoujo,PG-13 - Teens 13 or older,6.61,6638.0,4685.0,27653.0,122.0
Imouto de Ikou!,OVA,2.0,Finished Airing,,,,Hentai,,Datama Film,Green Bunny,,Rx - Hentai,6.23,,9270.0,5032.0,6.0
Gakuen: Chijoku no Zushiki,OVA,2.0,Finished Airing,,,,Hentai,,Y.O.U.C,"Digital Works, Arts Pro",,Rx - Hentai,5.44,,9995.0,4017.0,3.0
Court no Naka no Tenshi-tachi,OVA,2,Finished Airing,,,,"Sports, Hentai",School,P core,Pink Pineapple,,Rx - Hentai,5.76,,10380.0,3541.0,3.0
Kaette Kita Court no Naka no Tenshi-tachi,OVA,2,Finished Airing,,,,Hentai,,P core,Pink Pineapple,,Rx - Hentai,5.65,,11206.0,2790.0,3.0
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,OVA,6,Finished Airing,,,,"Comedy, Romance, Sci-Fi",,TNK,"Media Factory, KlockWorx, Toshiba Entertainment, Omnibus Promotion",,PG-13 - Teens 13 or older,6.91,4951.0,7631.0,8209.0,4.0
Sentou Yousei Shoujo Tasukete! Mave-chan,OVA,1,Finished Airing,,,,"Comedy, Sci-Fi","Parody, Super Power",Studio Fantasia,Bandai Visual,,PG-13 - Teens 13 or older,5.27,13246.0,9786.0,4274.0,2.0
Kirarin☆Revolution,TV,153,Finished Airing,Spring 2006,Spring,2006.0,"Comedy, Drama, Romance",Showbiz,"SynergySP, G&G Entertainment","MediaNet, Sony Music Entertainment, Shogakukan Productions",Shoujo,PG-13 - Teens 13 or older,7.09,4088.0,4191.0,35170.0,281.0
Silent Möbius,TV,26,Finished Airing,Spring 1998,Spring,1998.0,"Action, Comedy, Drama, Fantasy, Horror, Romance, Sci-Fi",,Radix,"Shaft, Sotsu, Omnibus Promotion",,PG-13 - Teens 13 or older,6.76,5730.0,5578.0,17951.0,55.0
Black Lagoon: The Second Barrage,TV,12,Finished Airing,Fall 2006,Fall,2006.0,Action,"Adult Cast, Organized Crime",Madhouse,"Geneon Entertainment, Arts Pro",Seinen,R - 17+ (violence & profanity),8.17,463.0,434.0,564435.0,3314.0
Black Jack,OVA,12,Finished Airing,,,,"Drama, Mystery, Suspense","Medical, Psychological",Tezuka Productions,"Animax, Akita Shoten",Shounen,R+ - Mild Nudity,7.72,1299.0,3690.0,45170.0,389.0
Black Jack the Movie,Movie,1,Finished Airing,,,,"Award Winning, Drama",Medical,Tezuka Productions,add some,Shounen,R - 17+ (violence & profanity),7.33,2791.0,5949.0,15126.0,42.0
Fuujin Monogatari,TV,13,Finished Airing,Fall 2004,Fall,2004.0,"Slice of Life, Supernatural","Iyashikei, School",Production I.G,"Tohokushinsha Film Corporation, Hakuhodo DY Media Partners, Sky Perfect Communications, Culture Publishers, Fonishia",,G - All Ages,7.21,3456.0,5231.0,21266.0,138.0
Pokemon Crystal: Raikou Ikazuchi no Densetsu,TV Special,1,Finished Airing,,,,"Action, Adventure, Comedy, Fantasy",,OLM,Shogakukan Productions,Kids,PG - Children,6.84,5328.0,4843.0,25513.0,7.0
Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,Movie,1,Finished Airing,,,,"Action, Adventure, Drama, Fantasy",,OLM,Shogakukan Productions,Kids,PG - Children,7.34,2754.0,1994.0,124524.0,123.0
Pokemon: Senritsu no Mirage Pokemon,ONA,1.0,Finished Airing,,,,"Adventure, Comedy, Fantasy",,OLM,add some,Kids,PG - Children,6.51,7261.0,4233.0,34492.0,3.0
Bishoujo Yuugekitai Battle Skipper,OVA,3,Finished Airing,,,,"Comedy, Sci-Fi",Mecha,Artmic,"Tokyo Kids, Victor Entertainment",,PG-13 - Teens 13 or older,5.17,13478.0,11053.0,2923.0,1.0
De:vadasy,OVA,3,Finished Airing,,,,Ecchi,"Mecha, Psychological",Studio Gazelle,"AIC, Green Bunny",,R+ - Mild Nudity,4.57,14166.0,9961.0,4058.0,0.0
Kanon (2006),TV,24,Finished Airing,Fall 2006,Fall,2006.0,"Drama, Romance, Supernatural",,Kyoto Animation,"Pony Canyon, TBS, Movic",,PG-13 - Teens 13 or older,7.94,791.0,943.0,285984.0,4483.0
Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,OVA,1.0,Finished Airing,,,,"Comedy, Fantasy, Romance, Ecchi",Urban Fantasy,J.C.Staff,add some,,PG-13 - Teens 13 or older,7.13,3868.0,4150.0,35874.0,20.0
Suki na Mono wa Suki Dakara Shou ga Nai!!,TV,12.0,Finished Airing,Winter 2005,Winter,2005.0,"Boys Love, Comedy, Drama",School,Zexcs,"Bandai Visual, Lantis, Movic",,PG-13 - Teens 13 or older,6.62,6572.0,3408.0,51926.0,234.0
Ai Tenshi Densetsu Wedding Peach,TV,51,Finished Airing,Spring 1995,Spring,1995.0,"Comedy, Fantasy, Romance",Mahou Shoujo,"OLM, KSS","TV Tokyo, Nihon Ad Systems",Shoujo,PG - Children,6.74,5834.0,4853.0,25439.0,145.0
Futari wa Precure: Splash☆Star,TV,49,Finished Airing,Winter 2006,Winter,2006.0,"Action, Comedy",Mahou Shoujo,Toei Animation,Asahi Broadcasting,,G - All Ages,7.19,3561.0,5826.0,15974.0,90.0
Death Note,TV,37,Finished Airing,Fall 2006,Fall,2006.0,"Supernatural, Suspense",Psychological,Madhouse,"VAP, Nippon Television Network, Shueisha, D.N. Dream Partners",Shounen,R - 17+ (violence & profanity),8.62,98.0,2.0,4188775.0,182609.0
Busou Renkin,TV,26,Finished Airing,Fall 2006,Fall,2006.0,"Action, Supernatural",School,Xebec,"Yomiko Advertising, Shueisha, Imagine, Geneon Entertainment",Shounen,PG-13 - Teens 13 or older,7.28,3026.0,1501.0,178032.0,872.0
Genshi Shounen Ryuu,TV,22.0,Finished Airing,Fall 1971,Fall,1971.0,"Action, Adventure, Sci-Fi",,Toei Animation,TBS,Shounen,PG-13 - Teens 13 or older,6.25,8880.0,10813.0,3131.0,7.0
Pumpkin Scissors,TV,24,Finished Airing,Fall 2006,Fall,2006.0,"Action, Comedy, Drama",Military,"Gonzo, AIC","GDH, Sotsu Music Publishing",Shounen,R - 17+ (violence & profanity),7.15,3769.0,3637.0,46329.0,143.0
Touch: Cross Road - Kaze no Yukue,TV Special,1.0,Finished Airing,,,,"Romance, Sports",Team Sports,Group TAC,"VAP, Kodansha, TOHO, Toho Music",Shounen,PG-13 - Teens 13 or older,6.81,5491.0,10032.0,3973.0,2.0
"Touch: Miss Lonely Yesterday - Are kara, Kimi wa...",TV Special,1,Finished Airing,,,,"Romance, Sports",Team Sports,Group TAC,"VAP, TOHO, Nippon Television Network, Shogakukan, Toho Music",Shounen,R+ - Mild Nudity,6.58,6835.0,9753.0,4324.0,3.0
Souten no Ken,TV,22,Finished Airing,Fall 2006,Fall,2006.0,Action,"Historical, Martial Arts",APPP,"TV Asahi, Arts Pro",,R - 17+ (violence & profanity),6.68,6191.0,6174.0,13729.0,24.0
Brain Powerd,TV,26,Finished Airing,Spring 1998,Spring,1998.0,"Adventure, Sci-Fi",Mecha,Sunrise,"Bandai Visual, WOWOW, Audio Planning U",,PG-13 - Teens 13 or older,6.18,9214.0,6369.0,12728.0,47.0
Yoake Mae yori Ruriiro na: Crescent Love,TV,12,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Romance, Sci-Fi",School,Daume,"Frontier Works, Movic, Alchemist, Memory-Tech, Omnibus Promotion",,PG-13 - Teens 13 or older,7.08,4191.0,3819.0,42653.0,155.0
Super Robot Taisen OG The Animation,OVA,3,Finished Airing,,,,Sci-Fi,"Mecha, Space",Brain's Base,Bandai Visual,,PG-13 - Teens 13 or older,6.61,6654.0,9464.0,4724.0,5.0
Negima!?,TV,26,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Fantasy, Romance","Harem, School","Shaft, GANSIS",TV Tokyo,Shounen,PG-13 - Teens 13 or older,6.92,4916.0,2310.0,100769.0,275.0
Obake no Q-tarou,TV,96.0,Finished Airing,Summer 1965,Summer,1965.0,"Comedy, Slice of Life, Supernatural",School,Shin-Ei Animation,add some,,G - All Ages,6.09,9767.0,13658.0,1363.0,0.0
Shin Taketori Monogatari: 1000-nen Joou,TV,42.0,Finished Airing,Spring 1981,Spring,1981.0,"Drama, Mystery, Sci-Fi",,Toei Animation,Fuji TV,,G - All Ages,7.11,4028.0,8148.0,6951.0,35.0
1000-nen Joou: Queen Millennia,Movie,1.0,Finished Airing,,,,"Adventure, Drama, Fantasy, Sci-Fi",,Toei Animation,add some,,PG-13 - Teens 13 or older,6.73,5922.0,8783.0,5840.0,11.0
Attack No.1,TV,104.0,Finished Airing,Winter 1970,Winter,1970.0,"Drama, Sports",Team Sports,Tokyo Movie Shinsha,Fuji TV,Shoujo,PG-13 - Teens 13 or older,6.75,5768.0,6771.0,10999.0,51.0
Hiatari Ryoukou! Yume no Naka ni Kimi ga Ita,Movie,1,Finished Airing,,,,"Comedy, Drama, Romance",,Group TAC,add some,,PG-13 - Teens 13 or older,6.05,10002.0,12748.0,1769.0,2.0
Queen Emeraldas,OVA,4,Finished Airing,,,,"Action, Adventure, Sci-Fi",Space,OLM,"Bandai Visual, Four Some, Dynamic Planning, Multi Access Company",Shounen,PG-13 - Teens 13 or older,6.81,5482.0,7411.0,8829.0,15.0
Asatte no Houkou.,TV,12.0,Finished Airing,Fall 2006,Fall,2006.0,"Drama, Supernatural",,J.C.Staff,"Bandai Visual, Lantis, TBS, Mag Garden",,PG-13 - Teens 13 or older,7.01,4493.0,4789.0,26143.0,44.0
Tokimeki Memorial: Only Love,TV,25,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Romance","Harem, School",AIC ASTA,Konami,,PG-13 - Teens 13 or older,7.01,4483.0,3982.0,39088.0,93.0
Kikoushi Enma,OVA,4,Finished Airing,,,,"Horror, Mystery, Supernatural","Detective, Gore, Mythology",Brain's Base,Bandai Visual,Seinen,R+ - Mild Nudity,7.01,4513.0,5085.0,22622.0,48.0
Shounen Onmyouji,TV,26,Finished Airing,Fall 2006,Fall,2006.0,"Action, Supernatural","Historical, Mythology",Studio Deen,"Sotsu, Marine Entertainment",Shoujo,PG-13 - Teens 13 or older,7.53,1939.0,3168.0,58658.0,275.0
Yarima Queen,OVA,1,Finished Airing,,,,"Comedy, Fantasy, Hentai","Mythology, Parody",AIC,Green Bunny,,Rx - Hentai,6.0,,9693.0,4400.0,16.0
Shijou Saikyou no Deshi Kenichi,TV,50,Finished Airing,Fall 2006,Fall,2006.0,"Action, Comedy","Martial Arts, School",TMS Entertainment,"TV Tokyo, Tokyo Movie Shinsha, Shogakukan",Shounen,PG-13 - Teens 13 or older,8.03,656.0,856.0,319295.0,3673.0
Choujin Gakuen Gowcaizer: The Voltage Fighters,OVA,3,Finished Airing,,,,"Action, Sci-Fi, Ecchi","Gore, Martial Arts, Super Power",J.C.Staff,GAGA,,R+ - Mild Nudity,5.02,13724.0,8800.0,5815.0,9.0
Lovedol: Lovely Idol,TV,12,Finished Airing,Fall 2006,Fall,2006.0,,"Idols (Female), Music","AIC ASTA, TNK","AIC, Pony Canyon Enterprises",,PG-13 - Teens 13 or older,6.1,9681.0,7169.0,9622.0,9.0
Yamato Nadeshiko Shichihenge♥,TV,25,Finished Airing,Fall 2006,Fall,2006.0,Comedy,Reverse Harem,Nippon Animation,add some,Shoujo,PG-13 - Teens 13 or older,7.71,1338.0,1573.0,169714.0,2419.0
Magic Knight Rayearth II,TV,29,Finished Airing,Spring 1995,Spring,1995.0,"Adventure, Drama, Fantasy, Romance","Isekai, Mahou Shoujo, Mecha",TMS Entertainment,"Dentsu, Yomiuri Telecasting",Shoujo,PG-13 - Teens 13 or older,7.49,2094.0,4075.0,37269.0,160.0
Pokemon Advanced Generation,TV,192,Finished Airing,Fall 2002,Fall,2002.0,"Action, Adventure, Comedy, Fantasy",,OLM,"TV Tokyo, TV Tokyo Music, Shogakukan Productions",Kids,PG - Children,7.14,3842.0,1349.0,200071.0,304.0
Pokemon Diamond & Pearl,TV,191,Finished Airing,Fall 2006,Fall,2006.0,"Action, Adventure, Comedy, Fantasy",,OLM,"TV Tokyo, SoftX, Nintendo, Shogakukan Productions",Kids,PG - Children,7.32,2840.0,1635.0,159542.0,549.0
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,TV Special,1,Finished Airing,,,,"Award Winning, Mystery, Sci-Fi","Adult Cast, Detective, Mecha, Military",Production I.G,"Bandai Visual, Dentsu, Victor Entertainment, Nippon Television Network, Fonishia",Seinen,R - 17+ (violence & profanity),8.1,551.0,2224.0,106504.0,257.0
Kaitou Saint Tail,TV,43,Finished Airing,Fall 1995,Fall,1995.0,"Adventure, Romance",,TMS Entertainment,"Dentsu, Tokyo Movie Shinsha, Asahi Broadcasting",Shoujo,G - All Ages,7.55,1857.0,5031.0,23344.0,232.0
Sumomomo Momomo: Chijou Saikyou no Yome,TV,22,Finished Airing,Fall 2006,Fall,2006.0,"Action, Comedy, Romance","Harem, Martial Arts",Studio Hibari,"TV Asahi, Square Enix, Lantis, Movic",Seinen,PG-13 - Teens 13 or older,6.82,5429.0,2847.0,71675.0,103.0
Otome wa Boku ni Koishiteru,TV,12.0,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Drama, Romance","Crossdressing, School",feel.,"Starchild Records, Dream Force, GANSIS",,PG-13 - Teens 13 or older,7.01,4522.0,2989.0,65999.0,180.0
Happiness!,TV,12.0,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Romance","Harem, School",Artland,Delfi Sound,,PG-13 - Teens 13 or older,6.33,8329.0,4034.0,38059.0,40.0
Ghost Hunt,TV,25,Finished Airing,Fall 2006,Fall,2006.0,"Horror, Mystery, Supernatural",,J.C.Staff,"TV Tokyo, Avex Entertainment, Marvelous Entertainment, Delfi Sound",Shoujo,PG-13 - Teens 13 or older,7.74,1237.0,1138.0,240505.0,3105.0
Jungle Taitei,TV,52.0,Finished Airing,Fall 1965,Fall,1965.0,Adventure,,Mushi Production,add some,,G - All Ages,6.58,6802.0,7326.0,9091.0,24.0
Kishin Douji Zenki,TV,51,Finished Airing,Winter 1995,Winter,1995.0,"Action, Comedy, Drama, Fantasy, Horror",Mythology,Studio Deen,"TV Tokyo, Kitty Films, Yomiko Advertising, K-Factory",Shounen,PG-13 - Teens 13 or older,6.97,4660.0,5853.0,15769.0,35.0
Get Ride! AMDriver,TV,51,Finished Airing,Spring 2004,Spring,2004.0,"Adventure, Sci-Fi",Mecha,Studio Deen,"Nihon Ad Systems, Illumitoon Entertainment",,PG-13 - Teens 13 or older,6.28,8697.0,11176.0,2820.0,5.0
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,Fall 2006,Fall,2006.0,"Award Winning, Drama, Sci-Fi","Mecha, Military, School, Super Power",Sunrise,"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners",,R - 17+ (violence & profanity),8.71,65.0,22.0,2411653.0,114608.0
Bakumatsu Kikansetsu Irohanihoheto,ONA,26.0,Finished Airing,,,,"Action, Drama","Historical, Samurai",Sunrise,Bandai Visual,,PG-13 - Teens 13 or older,7.08,4143.0,3950.0,39655.0,135.0
Taiho Shichau zo,OVA,4,Finished Airing,,,,"Action, Comedy","Detective, Workplace",Studio Deen,"Bandai Visual, TBS, Kodansha, Marubeni",Seinen,PG-13 - Teens 13 or older,7.46,2190.0,4256.0,34082.0,124.0
Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,TV,13,Finished Airing,Summer 2006,Summer,2006.0,"Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi",Reverse Harem,Satelight,"Lantis, Media Factory, Kids Station, Koei",Shoujo,PG-13 - Teens 13 or older,6.81,5474.0,6339.0,12839.0,23.0
Kiniro no Corda: Primo Passo,TV,25,Finished Airing,Fall 2006,Fall,2006.0,Romance,"Music, Reverse Harem, School",Yumeta Company,"Aniplex, Hakusensha, Koei, TYO",Josei,PG-13 - Teens 13 or older,7.4,2473.0,2305.0,101097.0,869.0
Mouryou Senki Madara,OVA,2,Finished Airing,,,,"Adventure, Supernatural",Mythology,"Studio Fantasia, animate Film",Bandai Visual,,PG-13 - Teens 13 or older,6.0,10262.0,10688.0,3232.0,7.0
Gift: Eternal Rainbow,TV,12,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Drama, Romance","Harem, School",OLM,add some,,PG-13 - Teens 13 or older,6.55,7039.0,4324.0,33056.0,29.0
Submarine 707R,OVA,2.0,Finished Airing,,,,"Action, Adventure, Sci-Fi",Military,Group TAC,"Aniplex, Sony Music Entertainment",,PG-13 - Teens 13 or older,6.2,9090.0,10397.0,3525.0,3.0
009-1,TV,12.0,Finished Airing,Fall 2006,Fall,2006.0,Sci-Fi,Mecha,Ishimori Entertainment,"Aniplex, TBS, Sony Music Entertainment",Seinen,R - 17+ (violence & profanity),6.2,9107.0,5000.0,23568.0,30.0
Stratos 4 Advance Kanketsu-hen,OVA,2,Finished Airing,,,,"Comedy, Sci-Fi",Military,Studio Fantasia,Bandai Visual,,PG-13 - Teens 13 or older,6.82,5428.0,10647.0,3269.0,3.0
Spectral Force,OVA,2,Finished Airing,,,,Fantasy,Mythology,add some,Idea Factory,,PG-13 - Teens 13 or older,3.55,14373.0,10953.0,3009.0,2.0
Aoi Umi no Tristia,OVA,2.0,Finished Airing,,,,Adventure,Mecha,ufotable,add some,,PG - Children,5.6,12234.0,9823.0,4226.0,2.0
Tenpou Ibun: Ayakashi Ayashi,TV,25,Finished Airing,Fall 2006,Fall,2006.0,Supernatural,"Historical, Mythology",Bones,"Aniplex, Mainichi Broadcasting System",,R - 17+ (violence & profanity),6.85,5263.0,5560.0,18098.0,26.0
Mamoru-kun ni Megami no Shukufuku wo!,TV,24,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Romance",School,Zexcs,Kadokawa Shoten,,PG-13 - Teens 13 or older,7.01,4518.0,4619.0,28445.0,45.0
Bartender,TV,11.0,Finished Airing,Fall 2006,Fall,2006.0,"Drama, Gourmet","Adult Cast, Workplace",Palm Studio,"Pony Canyon, Fuji TV, Sony Music Entertainment, Fujipacific Music, Fuji Creative, Omnibus Promotion",Seinen,PG-13 - Teens 13 or older,7.31,2884.0,2240.0,105309.0,536.0
Legendz: Yomigaeru Ryuuou Densetsu,TV,50,Finished Airing,Spring 2004,Spring,2004.0,"Action, Adventure, Comedy, Fantasy",,Gallop,add some,,G - All Ages,7.33,2764.0,10082.0,3923.0,50.0
Kujibiki♥Unbalance,TV,12.0,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Romance",School,Ajia-do,"Genco, Lantis, Media Factory",,PG-13 - Teens 13 or older,6.21,9048.0,5931.0,15265.0,16.0
Hataraki Man,TV,11,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Drama, Romance","Adult Cast, Workplace",Gallop,"Dentsu, SKY Perfect Well Think, Kodansha, Fuji TV, Asmik Ace, Sony Music Entertainment, Fujipacific Music, Tavac",Seinen,PG-13 - Teens 13 or older,6.98,4634.0,4667.0,27903.0,63.0
Azumanga Web Daiou,ONA,1,Finished Airing,,,,Comedy,"CGDCT, Gag Humor, School",Ajia-do,add some,,G - All Ages,6.72,5947.0,4100.0,36749.0,39.0
Jigoku Shoujo Futakomori,TV,26,Finished Airing,Fall 2006,Fall,2006.0,"Horror, Mystery, Supernatural, Suspense",Psychological,Studio Deen,"Aniplex, SKY Perfect Well Think",,R - 17+ (violence & profanity),7.87,921.0,1571.0,169798.0,694.0
Inma Daitoshi: Beast City,OVA,3,Finished Airing,,,,Hentai,,C and R,"Comstock, Ltd.",,Rx - Hentai,5.57,,10768.0,3176.0,10.0
Arcade Gamer Fubuki,OVA,4.0,Finished Airing,,,,"Comedy, Sports, Ecchi","Parody, Super Power, Video Game",Shaft,"Bandai Visual, Lantis",,PG-13 - Teens 13 or older,5.28,13219.0,7206.0,9468.0,10.0
Panyo Panyo Di Gi Charat,TV,48.0,Finished Airing,Winter 2002,Winter,2002.0,Comedy,,Madhouse,"Broccoli, Aquatone",,G - All Ages,6.65,6428.0,8232.0,6777.0,14.0
Casshern: Robot Hunter,OVA,4,Finished Airing,,,,"Adventure, Sci-Fi",Mecha,Tatsunoko Production,"Artmic, Tokyo Kids, Nippon Columbia",,PG-13 - Teens 13 or older,6.3,8507.0,7029.0,10139.0,14.0
Eat-Man '98,TV,12,Finished Airing,Fall 1998,Fall,1998.0,"Action, Adventure, Sci-Fi",Super Power,Studio Deen,Omnibus Promotion,Shounen,PG-13 - Teens 13 or older,6.64,6489.0,7996.0,7284.0,10.0
Galaxy Angel Rune,TV,13.0,Finished Airing,Fall 2006,Fall,2006.0,"Comedy, Sci-Fi",,Satelight,"Bandai Visual, Lantis, Broccoli, Sunny Side Up",,PG-13 - Teens 13 or older,6.21,9038.0,8512.0,6254.0,3.0
Red Garden,TV,22,Finished Airing,Fall 2006,Fall,2006.0,"Drama, Mystery, Supernatural, Suspense",Psychological,Gonzo,"GDH, Sotsu Music Publishing, Future Vision Music",,R - 17+ (violence & profanity),7.02,4463.0,3538.0,48321.0,143.0
Soukou no Strain,TV,13,Finished Airing,Fall 2006,Fall,2006.0,"Drama, Sci-Fi, Ecchi","Mecha, Military, Space",Studio Fantasia,"Happinet Pictures, Omnibus Promotion",,R+ - Mild Nudity,7.0,4548.0,4939.0,24421.0,79.0
Super Robot Taisen OG: Divine Wars,TV,25,Finished Airing,Fall 2006,Fall,2006.0,Sci-Fi,Mecha,OLM,"GDH, Sotsu, Genco, Banpresto",,PG-13 - Teens 13 or older,6.77,5664.0,7426.0,8796.0,15.0
